user_id,rank,item_id,score,model_name
12346,1,15056BL,0.0,mf
12346,2,16162M,0.0,mf
12346,3,20684,0.0,mf
12346,4,20719,0.0,mf
12346,5,20759,0.0,mf
12346,6,20782,0.0,mf
12346,7,20886,0.0,mf
12346,8,20903,0.0,mf
12346,9,21310,0.0,mf
12346,10,21371,0.0,mf
12346,11,21398,0.0,mf
12346,12,21467,0.0,mf
12346,13,21790,0.0,mf
12346,14,21864,0.0,mf
12346,15,21985,0.0,mf
12346,16,22083,0.0,mf
12346,17,22086,0.0,mf
12346,18,22137,0.0,mf
12346,19,22165,0.0,mf
12346,20,22197,0.0,mf
12347,1,22730,0.042173,mf
12347,2,21977,0.03871,mf
12347,3,21212,0.031795,mf
12347,4,22966,0.029293,mf
12347,5,79321,0.029285,mf
12347,6,84380,0.029123,mf
12347,7,23245,0.028837,mf
12347,8,22192,0.025127,mf
12347,9,22191,0.024219,mf
12347,10,23108,0.02408,mf
12347,11,23163,0.023042,mf
12347,12,21912,0.022425,mf
12347,13,23032,0.021785,mf
12347,14,22941,0.02038,mf
12347,15,22466,0.020355,mf
12347,16,22467,0.019452,mf
12347,17,23029,0.018867,mf
12347,18,23342,0.018686,mf
12347,19,23161,0.017319,mf
12347,20,21915,0.017094,mf
12348,1,21212,0.087462,mf
12348,2,21986,0.080997,mf
12348,3,21975,0.077189,mf
12348,4,21984,0.071737,mf
12348,5,22614,0.059537,mf
12348,6,22417,0.058291,mf
12348,7,22553,0.055015,mf
12348,8,22557,0.047204,mf
12348,9,21210,0.042831,mf
12348,10,22950,0.040995,mf
12348,11,21974,0.040482,mf
12348,12,22555,0.039848,mf
12348,13,22969,0.037556,mf
12348,14,22909,0.033243,mf
12348,15,23309,0.03278,mf
12348,16,23380,0.031953,mf
12348,17,22759,0.03178,mf
12348,18,21976,0.031683,mf
12348,19,20983,0.030945,mf
12348,20,22556,0.030415,mf
12349,1,21843,0.048967,mf
12349,2,22551,0.045891,mf
12349,3,48187,0.045374,mf
12349,4,22961,0.044622,mf
12349,5,21218,0.040927,mf
12349,6,22558,0.040166,mf
12349,7,21216,0.03863,mf
12349,8,21539,0.037703,mf
12349,9,21523,0.037237,mf
12349,10,23243,0.037171,mf
12349,11,23245,0.036928,mf
12349,12,48138,0.036669,mf
12349,13,22427,0.036373,mf
12349,14,21524,0.03474,mf
12349,15,22646,0.034605,mf
12349,16,21844,0.033684,mf
12349,17,20750,0.033478,mf
12349,18,21217,0.033442,mf
12349,19,22328,0.033329,mf
12349,20,22055,0.031556,mf
12350,1,22556,0.044645,mf
12350,2,22555,0.042504,mf
12350,3,22554,0.037871,mf
12350,4,22553,0.031841,mf
12350,5,21914,0.030105,mf
12350,6,21137,0.027691,mf
12350,7,21891,0.02508,mf
12350,8,21175,0.022547,mf
12350,9,21892,0.021627,mf
12350,10,21889,0.02149,mf
12350,11,22413,0.020226,mf
12350,12,21181,0.020023,mf
12350,13,21166,0.019483,mf
12350,14,21907,0.018644,mf
12350,15,21169,0.017957,mf
12350,16,21165,0.017647,mf
12350,17,82583,0.017354,mf
12350,18,82580,0.017192,mf
12350,19,21890,0.017042,mf
12350,20,85152,0.016398,mf
12352,1,21231,0.088727,mf
12352,2,22666,0.060663,mf
12352,3,22960,0.049655,mf
